acutely		<-->adverb+C1[-0]	.
escapade		<-->noun+C2[-0]	.








escape		<-->verb+B1[-0]	.








escape		<-->noun+B1[-0]	.








evacuate		<-->verb+C1[-0]	.








evacuation		<-->noun+C1[-0]	.








evacuee		<-->noun+C2[-0]	.








eventful		<-->adjective+C1[-0]	.








explode		<-->verb+C2[-0]	.








flee		<-->verb+C1[-0]	.








flight		<-->noun+C2[-0]	.








flirt with		<-->phrasal verb+C2[-0]	.








foghorn		<-->noun+C2[-0]	.








foreboding		<-->noun+C2[-0]	.








foreboding		<-->adjective+C2[-0]	.








forewarned is forearmed		<-->idiom+C2[-0]	.








for fear of something/of doing something		<-->idiom+C1[-0]	.








Frankenstein		<-->noun+C2[-0]	.








gamble		<-->verb+C1[-0]	.








gamble		<-->noun+C1[-0]	.








gamble on		<-->phrasal verb+C2[-0]	.








gamble on doing		<-->phrasal verb+C2[-0]	.








gambler		<-->noun+C1[-0]	.








game		<-->adjective+C2[-0]	.








God/Heaven help somebody		<-->idiom+C2[-0]	.








guard		<-->noun+B2[-0]	.








guard		<-->verb+B1[-0]	.








hairy		<-->adjective+C2[-0]	.








hang by a hair/thread		<-->idiom+C2[-0]	.








harmless		<-->adjective+B2[-0]	.








harmlessly		<-->adverb+B2[-0]	.








hazard		<-->noun+C1[-0]	.








hazard		<-->verb+C2[-0]	.








hazardous		<-->adjective+C1[-0]	.








help		<-->noun+A1[-0]	.








high-risk		<-->adjective+B2[-0]	.








hold on		<-->phrasal verb+C2[-0]	.








hold out		<-->phrasal verb+C2[-0]	.








hot		<-->adjective+C2[-0]	.








if the worst comes to the worst		<-->idiom+C2[-0]	.








imperil		<-->verb+C2[-0]	.








in a (tight) corner/spot		<-->idiom+C2[-0]	.








in a (tight) spot		<-->idiom+C2[-0]	.








in a (tight) spot/corner		<-->idiom+C2[-0]	.








in jeopardy		<-->idiom+C2[-0]	.








insane		<-->adjective+C2[-0]	.








insanity		<-->noun+C2[-0]	.








in the face of something		<-->idiom+C1[-0]	.








jungle		<-->noun+C2[-0]	.








(like) a lamb/lambs to the slaughter		<-->idiom+C2[-0]	.








live, etc. to tell the tale		<-->idiom+C2[-0]	.








look before you leap		<-->idiom+C2[-0]	.








look out		<-->phrasal verb+B1[-0]	.








low-risk		<-->adjective+B2[-0]	.








lunatic		<-->noun+C2[-0]	.








lurk		<-->verb+C2[-0]	.








madcap		<-->adjective+C2[-0]	.








madness		<-->noun+C1[-0]	.








maniac		<-->adjective+C2[-0]	.








maniac		<-->noun+C2[-0]	.








menace		<-->noun+C1[-0]	.








menace		<-->verb+C2[-0]	.








menacing		<-->adjective+C2[-0]	.








mind		<-->verb+B1[-0]	.








mind out		<-->phrasal verb+C2[-0]	.








minefield		<-->noun+C2[-0]	.








nasty		<-->adjective+B2[-0]	.








nothing ventured, nothing gained		<-->idiom+C2[-0]	.








off (your) guard		<-->idiom+C2[-0]	.








parlous		<-->adjective+C2[-0]	.








peril		<-->noun+C2[-0]	.








perilous		<-->adjective+C2[-0]	.








perilously		<-->adverb+C2[-0]	.








pitfall		<-->noun+C2[-0]	.








play with fire		<-->idiom+C2[-0]	.








powder keg		<-->noun+C2[-0]	.








precarious		<-->adjective+C2[-0]	.








precariously		<-->adverb+C2[-0]	.








precaution		<-->noun+C1[-0]	.








precautionary		<-->adjective+C2[-0]	.








presence of mind		<-->noun+C2[-0]	.








pressure cooker		<-->noun+C2[-0]	.








push things/it		<-->idiom+C2[-0]	.








push your luck		<-->idiom+C2[-0]	.








quagmire		<-->noun+C2[-0]	.








quicksand		<-->noun+C2[-0]	.








reckless		<-->adjective+C1[-0]	.








recklessly		<-->adverb+C1[-0]	.








red alert		<-->noun+C2[-0]	.








red flag		<-->noun+C2[-0]	.








refuge		<-->noun+C1[-0]	.








rescue		<-->verb+B2[-0]	.








rescue		<-->noun+B2[-0]	.








rescuer		<-->noun+B2[-0]	.








rescue worker		<-->noun+B2[-0]	.








risk		<-->noun+B1[-0]	.








risk		<-->verb+B1[-0]	.








risk-averse		<-->adjective+C2[-0]	.








risk-taking		<-->noun+C2[-0]	.








safeguard		<-->noun+C1[-0]	.








safety measure		<-->noun+B1[-0]	.








sail close to the wind		<-->idiom+C2
